"","direction","MS","RA","SLE","UC","CD","psoriasis"
"RAB11FIP2","UP",0.00132078109032183,0,0,0,0,0
"SELENOM","DOWN",0,0,0,0,0.00207120421430011,0
"PMVK","DOWN",0,0,0,0,0,0
"CAVIN2","DOWN",0,0.00867194343311118,0,0.00783458834064555,0,0.00867194343311118
"RPS28","DOWN",0,0,0,0,0,0
"HSD17B10","DOWN",0.00940375408031074,0,0,0.00625205920841621,0.00147831941873881,0
"PGLS","DOWN",0.00160488304879668,0,0,0,0,0
"LYST","UP",0.00776117694837874,0.00370988045303696,0.418589819986591,0,0.00147831941873881,0.00370988045303696
"MICOS13","DOWN",0.00170963413459323,0,0,0,0,0
"SDHAF1","DOWN",0.00221747912810821,0,0,0,0,0
"LY6E","DOWN",0.00856122986407134,0,0.0206739163560979,0.00206130785638408,0.00140617218608248,0
"EEPD1","DOWN",0.00369579854684702,0,0,0,0,0
"PARD6A","DOWN",0,0,0,0,0,0
"AURKAIP1","DOWN",0.00154526343431857,0,0,0,0,0
"PDK4","UP",0.00949614904398192,0.00377445197156192,0,0.0299695594713776,0.00407266236563808,0.00377445197156192
"LMNA","DOWN",0,0.0103275728422805,0,0.0384360482345321,0.0340235214222736,0.0103275728422805
"GZMM","DOWN",0,0,0,0.00940375408031074,0.00164406022610628,0
"ENDOG","DOWN",0,0,0,0,0.0109765216841356,0
"BDP1","UP",0.00139409012793561,0.0418586143415893,0,0,0,0.0418586143415893
"MARCHF2","DOWN",0,0,0,0,0,0
"GAB1","UP",0.00184789927342351,0,0,0.0546978184933359,0,0
"RPS27A","DOWN",0.00811022458891429,0.0108820734990496,0.00665243738432463,0.0229884829278129,0,0.0108820734990496
"FAM110A","DOWN",0,0,0,0,0,0
"BST2","DOWN",0.00228815901219343,0,0.00507617668167937,0.0358426980298364,0.0118945670355395,0
"RPL36","DOWN",0,0,0,0,0,0
"GAMT","DOWN",0,0,0,0,0,0
"SERF2","DOWN",0,0,0,0,0,0
"PAOX","DOWN",0,0,0,0.0110873956405411,0,0
"ZNF688","DOWN",0,0,0,0,0,0
"FAAP20","DOWN",0,0,0,0,0,0
"PARP15","UP",0,0,0,0.00358357784430961,0.00103937031491524,0
"ZNF431","UP",0,0,0,0,0,0
"S100A6","DOWN",0.00944632224979504,0,0,0.01038930035947,0,0
"SYNE2","UP",0.2623946333711,0,0,0.0027887375574398,0,0
"PGRMC1","DOWN",0,0,0,0.00369579854684702,0,0
"GMPR","DOWN",0,0,0,0.00434046882626352,0.00365316087543759,0
"RHOC","DOWN",0,0,0,0,0,0
